DNA content,Total MTBP (GFP)
1377.67183385139,36478.19921875
2162.27007955815,128995.8984375
1735.94763079384,58992.69921875
1692.2264407976,64239.69921875
1119.98697203418,45631.8984375
1346.30766617074,58918.6015625
1124.18676252276,36813.30078125
1152.2532666065,52669.30078125
949.506150512153,28611.900390625
978.804002116156,39762.3984375
1727.94654488068,48722.80078125
1145.25365291676,63467.30078125
1837.33945412623,84417.796875
1592.1187561147,60159.69921875
1296.84126435892,46160.30078125
1713.83405045814,55333.30078125
926.120905380285,39436.1015625
1011.22209902839,44436.69921875
1072.85975184032,53678.5
1140.08234972745,73195.3984375
1763.82635883569,33439.1015625
1858.78735391484,43361.69921875
1058.59567782525,56846.80078125
1345.94904288788,56897.30078125
1104.98983638937,55447.80078125
1042.50908474165,17733.80078125
1032.22171971343,39210.1015625
2192.35768200027,74780.5
1264.63021113701,48143.8984375
1252.21872708685,57079.69921875
1191.57051813979,58147.69921875
1963.97323338194,77075.296875
1009.19064291681,25511.80078125
1060.21482853524,53048.80078125
877.646787462447,12823.7001953125
1935.08267536347,59217.1015625
1933.78116241829,88182.203125
1628.07096296842,96608.5
938.214417544555,40892.19921875
1426.6616676423,55987.69921875
1868.73714528768,74316.3984375
1109.6127355275,65641.1015625
2038.525890698,103669.796875
1435.04621317126,52419.30078125
1034.47948716376,25761.80078125
929.887285152954,45731.30078125
1119.49770741257,52815.80078125
2047.31171563322,101912.6015625
1746.50942059503,65136.80078125
1934.51890174303,56013.19921875
1170.27698228597,69140.1015625
1071.97232627579,57380.0
1092.63537566866,59192.3984375
1713.24521775738,83360.703125
1132.84751480374,57318.30078125
2111.76055176273,99276.296875
1166.53582865416,63874.69921875
1310.65238157543,53581.6015625
1064.54782195745,47585.69921875
1223.93693765971,49529.8984375
1805.65508708588,51588.69921875
1373.16665670393,31389.19921875
1938.96204374497,65192.30078125
1962.03844963356,92235.1015625
914.033017587377,32466.80078125
1101.94265222199,21264.30078125
1036.48243161062,58203.30078125
1144.12287583886,60033.6015625
2215.64458416358,109815.0
1054.1214625637,57873.3984375
1001.60119416309,58408.69921875
1100.84138917203,48826.80078125
1063.50358223694,43652.80078125
1192.40025213273,73779.296875
1148.7837534054,49699.3984375
2241.39173114624,31814.69921875
952.800695645747,43243.6015625
1158.65769929512,67284.203125
1459.91194876866,55892.69921875
1293.72458300878,45272.8984375
1056.27453874512,43262.1015625
1082.32629277083,58064.6015625
1085.84603550626,46135.30078125
1095.74314712357,48319.80078125
1356.27639107093,54684.30078125
1029.76715495229,14467.7001953125
1912.9248796727,78515.203125
1513.70455020758,68441.8984375
948.733439848657,35217.30078125
1872.28328358772,65128.19921875
1135.33838738793,60968.19921875
2175.90221925431,123786.296875
1085.94126001149,37760.80078125
971.724533490454,46374.69921875
1102.24636827552,57740.6015625
1847.56088592977,98442.5
1992.27172886263,103013.8984375
1135.96530989078,69086.0
1833.74520239196,53315.0
1043.39896052737,60207.30078125
2286.47201428555,144379.90625
1260.56418045051,38232.1015625
998.55512373262,70542.5
1278.18115941291,61775.0
1725.61003623129,69754.796875
2083.37986249857,93996.8984375
1162.54319322959,54377.8984375
1130.24270693435,58010.1015625
1146.38565510525,30452.69921875
1134.46131957659,39315.0
975.588643676386,37805.5
1325.51475505494,19075.80078125
1656.09971137113,39496.8984375
1166.12820094756,54821.6015625
1735.72889286604,71466.203125
1704.0121160818,68433.0
1517.14989531788,71650.5
1046.95044476455,25615.30078125
1145.97145635092,60618.8984375
2035.73820722909,53505.5
1036.72834471886,22734.0
1104.17090564439,43827.3984375
1844.24607078454,46690.1015625
