DNA content,Total MTBP (GFP)
1360.34208763635,12888.2998046875
1331.39784749914,9754.400390625
1151.64071130969,11753.5
903.401730603424,8343.5
1113.35199580658,8586.900390625
1183.58224020101,8187.89990234375
1023.50138250813,9405.400390625
969.159263281129,7897.7998046875
2024.59081456416,19066.80078125
1489.99531901055,6125.39990234375
1095.10063230407,8587.5
1925.92619878684,20307.0
1674.30830737655,16358.7001953125
1880.17678251603,16240.099609375
966.667276960039,9070.599609375
1507.71932808935,16070.599609375
896.084924643634,5481.10009765625
1330.61656106149,12887.0
1220.82203828861,9918.099609375
1861.32021438028,18549.19921875
1132.65650892483,10145.2001953125
1059.449579909,6996.2001953125
1951.06145871483,17433.0
1792.21651486351,12589.7001953125
1023.57054556982,7784.10009765625
1365.85063035998,13775.599609375
1655.8940041651,11205.099609375
1165.73004000464,11916.5
1096.17795001061,9721.599609375
1176.73409473012,13286.2001953125
1888.58995108341,14938.2001953125
1144.31065188075,10629.7001953125
1694.82389800343,13546.099609375
1290.3642160242,10606.5
1827.12659809684,15811.5
2227.73620297512,21343.5
1650.36029098746,11898.7001953125
947.352071967519,7366.2998046875
941.092759197393,7939.0
933.057425874451,6151.5
1415.74849384812,10421.400390625
1930.92888220899,13190.7998046875
1504.93721330496,14112.7998046875
2005.01867046805,16592.19921875
1202.07495049046,12310.599609375
1037.9807418666,11554.099609375
1183.20624262246,9325.099609375
2036.49777579713,21144.0
1787.53948811188,15987.099609375
2007.9486895132,16590.69921875
1272.75570146227,9071.2001953125
1703.00674577921,16276.599609375
2117.69253725698,21421.5
901.873850632659,4500.2001953125
924.009928453808,8480.7998046875
1872.85284864006,14497.400390625
1173.25143943356,9806.2001953125
989.573949344567,6522.10009765625
1379.42218276859,11812.099609375
1518.30205614432,11170.099609375
1856.29503347268,14411.0
1231.67395655311,11509.7001953125
1529.84928035753,12949.2001953125
1704.93273100605,12199.5
1997.41719335578,16214.0
1063.08771287725,9102.7001953125
